unid,time,mag,flynn_region,longitude,latitude,depth
20251029_0000395,2025-10-29 16:27:34,2.2,WESTERN TURKEY,28.0878,39.1878,7.0
20251029_0000395,2025-10-29 16:27:29,2.2,WESTERN TURKEY,28.0878,39.1878,7.0
20251029_0000400,2025-10-29 14:07:14,2.1,NEVADA,-116.4934,38.4419,5.5
20251029_0000401,2025-10-29 16:25:08,1.6,WESTERN TURKEY,28.1208,39.1939,7.0
20251029_0000384,2025-10-29 16:00:34,2.5,GREECE,20.5098,38.3893,5.0
20251029_0000402,2025-10-29 16:20:28,1.6,WESTERN TURKEY,28.1794,39.1894,11.2
20251029_0000402,2025-10-29 16:20:28,1.6,WESTERN TURKEY,28.1794,39.1894,11.2
20251029_0000403,2025-10-29 16:46:26,3.4,ICELAND,-17.43,64.621,1.1
20251029_0000404,2025-10-29 16:15:54,1.7,WESTERN TURKEY,28.2608,39.1925,7.0
20251029_0000404,2025-10-29 16:15:53,1.7,WESTERN TURKEY,28.2608,39.1925,7.0
20251029_0000397,2025-10-29 16:10:56,4.8,"EAST OF GUADELOUPE, LEEWARD ISL.",-59.564,16.611,10.0
20251029_0000403,2025-10-29 16:46:26,3.4,ICELAND,-17.429,64.621,1.1
20251029_0000403,2025-10-29 16:46:26,4.8,ICELAND,-17.429,64.621,1.1
20251029_0000403,2025-10-29 16:46:26,5.0,ICELAND,-17.429,64.621,1.1
20251029_0000403,2025-10-29 16:46:26,5.0,ICELAND,-17.429,64.621,1.1
20251029_0000403,2025-10-29 16:46:26,5.0,ICELAND,-17.429,64.621,1.1
20251029_0000403,2025-10-29 16:46:26,5.0,ICELAND,-17.429,64.621,1.1
20251029_0000403,2025-10-29 16:46:26,5.1,ICELAND,-17.429,64.621,1.1
20251029_0000384,2025-10-29 16:00:34,2.5,GREECE,20.5098,38.3893,5.0
20251029_0000405,2025-10-29 16:49:51,2.8,"MINAHASA, SULAWESI, INDONESIA",119.65,0.09,10.0
20251006_0000369,2025-10-06 14:42:18,4.1,SOUTH OF FIJI ISLANDS,179.7681,-24.7739,513.6
20251029_0000403,2025-10-29 16:46:26,5.1,ICELAND,-17.429,64.621,1.1
20251029_0000406,2025-10-29 16:01:09,3.1,"MINDANAO, PHILIPPINES",124.63,8.51,7.0
20251029_0000384,2025-10-29 16:00:34,2.5,GREECE,20.5098,38.3893,5.0
20251015_0000046,2025-10-15 02:37:44,2.3,"MT. ST. HELENS AREA, WASHINGTON",-122.1117,46.2333,9.4
20251029_0000403,2025-10-29 16:46:26,5.4,ICELAND,-17.429,64.621,1.1
20251029_0000384,2025-10-29 16:00:34,2.5,GREECE,20.5098,38.3893,5.0
20251029_0000403,2025-10-29 16:46:30,5.4,ICELAND,-17.1509,64.7601,10.0
20251029_0000384,2025-10-29 16:00:35,2.5,GREECE,20.48,38.41,0.0
20251029_0000384,2025-10-29 16:00:32,2.5,GREECE,20.5222,38.3949,11.2
20251029_0000366,2025-10-29 14:04:41,4.4,"HINDU KUSH REGION, AFGHANISTAN",69.9,37.27,40.0
20251029_0000386,2025-10-29 16:11:18,2.9,WESTERN TURKEY,28.1581,39.1728,6.8
20251029_0000407,2025-10-29 17:03:15,2.2,PUERTO RICO,-66.8173,17.9953,10.5
20251029_0000408,2025-10-29 16:42:41,2.0,WESTERN TURKEY,28.2519,39.1711,7.4
20251029_0000408,2025-10-29 16:42:41,2.0,WESTERN TURKEY,28.2519,39.1711,7.4
20251029_0000409,2025-10-29 16:46:46,2.1,WESTERN TURKEY,28.1861,39.1961,10.0
20251029_0000384,2025-10-29 16:00:32,2.5,GREECE,20.5222,38.3949,11.2
20251029_0000398,2025-10-29 16:29:13,2.0,WESTERN TURKEY,28.2758,39.1956,4.8
20251029_0000410,2025-10-29 16:31:54,1.1,WESTERN TURKEY,28.1161,39.2167,7.0
